kingdom,phylum,class,order,family,genus,organism taxon name,ncbi_tax_id,in Q4O?,in FungiDB,core?
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Filobasidiella,Cryptococcus neoformans var. neoformans JEC21,214684,yes,yes,
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Tremella mesenterica DSM 1558,578456,,yes,
Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Sporisorium,Sporisorium reilianum SRZ2,999809,,yes,
Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago maydis 521,237631,yes,yes,YES
Fungi,Basidiomycota,,Pucciniales,Melampsoraceae,Melampsora,Melampsora larici-populina 98AG31,747676,,yes,
Fungi,Basidiomycota,,Pucciniales,Pucciniaceae,Puccinia,Puccinia graminis f. sp. tritici CRL 75-36-700-3,418459,,yes,YES
Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces macrogynus ATCC 38327,578462,,yes,YES
Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,,Batrachochytrium,Batrachochytrium dendrobatidis JEL423,403673,,yes,YES
Fungi,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Spizellomyces punctatus DAOM BR117,645134,,yes,YES
Fungi,,,Mucorales,Mucoraceae,Mucor,Mucor circinelloides f. lusitanicus CBS 277.49,747725,,yes,
Fungi,,,Mucorales,Phycomycetaceae,Phycomyces,Phycomyces blakesleeanus NRRL 1555(-),763407,,yes,
Fungi,,,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus delemar RA 99-880,246409,,yes,YES
Oomycetes,,,Peronosporales,Peronosporaceae,Hyaloperonospora,Hyaloperonospora arabidopsidis Emoy2,559515,,yes,YES
Oomycetes,,,Peronosporales,,Phytophthora,Phytophthora capsici LT1534,763924,,yes,
Oomycetes,,,Peronosporales,,Phytophthora,Phytophthora cinnamomi var. cinnamomi,622258,,yes,
Oomycetes,,,Peronosporales,,Phytophthora,Phytophthora infestans T30-4,403677,,yes,YES
Oomycetes,,,Peronosporales,,Phytophthora,Phytophthora parasitica INRA-310,761204,,yes,
Oomycetes,,,Peronosporales,,Phytophthora,Phytophthora ramorum,164328,,yes,
Oomycetes,,,Peronosporales,,Phytophthora,Phytophthora sojae,67593,,yes,
Oomycetes,,,Pythiales,Pythiaceae,Pythium,Pythium ultimum DAOM BR144,431595,,yes,YES
Oomycetes,,,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia parasitica CBS 223.65,695850,,yes,YES
